Mess + Finesse,21 Hawkins St.,Union Square,Somerville,,,
Michael J. Lombardi Building,831 Massachusetts Ave.,near Central Square,Mid-Cambridge,,,
Microsoft NERD Center,1 Memorial Drive,Kendall Square,Cambridge ,,,
Middle East Corner,480 Massachusetts Ave.,Central Square,Cambridge ,,,
Middle East Downstairs,480 Massachusetts Ave.,Central Square,Cambridge ,,,
Middle East Upstairs,472 Massachusetts Ave.,Central Square,Cambridge,,,
Microsoft New England Research and Development Center Center,1 Memorial Drive,Kendall Square,Cambridge ,,,
Middlesex,315 Massachusetts Ave.,near Central Square,Cambridge,,,
Milk Row Cemetery,439 Somerville Ave.,Union Square,Somerville,,,
Milk Row Studios,438 Somerville Ave.,Union Square,Somerville ,,,
Millers River Apartments,15 Lambert St.,East Cambridge,,,,
MIT Chapel,50 Massachusetts Ave.,Area II,Cambridge ,,,
MIT Museum,314 Main St.,Kendall Square,Cambridge ,,,
MIT Press Bookstore,314 Main St.,Kendall Square,Cambridge ,,,
MIT Theater Arts,345 Vassar St., MIT/Area II neighborhood,Cambridge ,,,
Mobilia Gallery,358 Huron Ave.,Huron Village,Cambridge ,,,
Massachusetts Institute of Technology’s Building 50,also known as Morss Hall,at 142 Memorial Drive,Cambridge ,,,
Mount Auburn Cemetery,580 Mount Auburn St.,,West Cambridge,,,
Mudflat Studio,81 Broadway,,Somerville,,,
Multicultural Arts Center,41 Second St.,,East Cambridge,,,
Murr Center and Harvard Stadium,65 N. Harvard St.,Boston,across the river from Harvard Square,,,
Muse Paintbar,461 Artisan Way,Assembly Square,Somerville,,,
Museum of Modern Renaissance,115 College Ave.,between Davis and Powder House squares,Somerville,,,
Museum of Natural History’s Haller Hall,24 Oxford St.,Baldwin neighborhood,Cambridge,,,
Museum of Science,1 Science Park,Boston,on the Cambridge border,,,
Mystic Learning Center,530 Mystic Ave.,Somerville ,,,,
Nameless Coffeehouse at The First Parish Church, 3 Church St.,Harvard Square,Cambridge ,,,
Nathan Tufts/Powderhouse Park,College Avenue and Broadway,,Somerville,,,
Nave Gallery,155 Powderhouse Blvd.,near Teele Square,Somerville,,,
New Alliance Gallery,438R Somerville Ave.,near Union Square,Somerville,,,
Newbury Comics,36 John F. Kennedy St.,Harvard Square,Cambridge ,,,
New England Science Fiction Association clubhouse,504 Medford St.,Magoun Square,Somerville,,,
New School of Music,25 Lowell St.,,West Cambridge,,,
Newtowne Cooperative Preschool,11 Garden St.,across from the Cambridge Common near Harvard Square,Cambridge ,,,
Noir is at The Charles Hotel,1 Bennett St.,Harvard Square,Cambridge ,,,
North Point Park,1 North Point Blvd.,North Point,Cambridge ,,,
North Point Park,6 Museum Way,North Point,Cambridge ,,,
Nunziato Field,at Vinal Avenue and Summer Street,,Somerville,,,
Cambridge library’s O’Connell Branch,48 Sixth St.,,East Cambridge,,,
Old Cambridge Baptist Church,400 Harvard St.,Harvard Square,Cambridge,,,
Old Morse Park,249 Brookline St.,,Cambridgeport,,,
Cambridge library’s O’Neill Branch,70 Rindge Ave.,,North Cambridge,,,
OnStage Dance Co.,276 Broadway,Winter Hill neighborhood ,Somerville,,,
Outpost 186,186.5 Hampshire St.,Inman Square,Cambridge ,,,
Harvard’s John Knowles Paine Concert Hall,3 Oxford St.,just north of Harvard Square,Cambridge,,,
Palmer Street,Harvard Square,Cambridge ,,,,
Pandemonium Books & Games,4 Pleasant St., Central Square,Cambridge ,,,
Papercut Zine Library,10 Ward St., Ward 2 neighborhood of Somerville,,,,
Passim School of Music,26 Church St.,Harvard Square,Cambridge ,,,
Patty Chen’s Dumpling Room, 907 Main St.,Central Square,Cambridge ,,,
Harvard Museums of Science & Culture,11 Divinity Ave., Baldwin neighborhood near Harvard Square,Cambridge ,,,
auditorium of the Peabody School,70 Rindge Ave.,,North Cambridge,,,
